name,dimension,opt_tour_length,c_tour_length_prims_k,c_tour_length_nx_mst,mst_cost_prims_k,mst_cost_nx_mst,c_apx_ratio_prims_k,c_apx_ratio_nx_mst,elapsed_time_prims_k,elapsed_time_nx_mst
burma14,14,3323,3834,3606,2961,2345.0,1.1537767077941619,1.085164008426121,0.4503192901611328,0.31647706031799316
ulysses16,16,6859,7951,6983,5778,4540.0,1.159206881469602,1.0180784370899547,0.48169517517089844,0.3019144535064697
gr17,17,2085,2252,2197,1757,1421.0,1.080095923261391,1.0537170263788969,0.3833889961242676,0.5665721893310547
gr21,21,2707,3215,2882,2508,2161.0,1.1876616180273365,1.064647210934614,0.6172046661376953,0.4161679744720459
ulysses22,22,7013,8438,7411,5770,4660.0,1.203194068159133,1.0567517467560246,0.6126677989959717,0.4999103546142578
gr24,24,1272,1594,1455,1297,1011.0,1.2531446540880504,1.1438679245283019,0.601832389831543,0.6000714302062988
fri26,26,937,1156,1051,906,741.0,1.2337246531483457,1.121664887940235,1.0005455017089844,1.0336174964904785
bayg29,29,1610,1889,1765,1407,1319.0,1.1732919254658385,1.0962732919254659,0.7500321865081787,0.7334327697753906
dantzig42,42,699,873,761,653,591.0,1.2489270386266094,1.0886981402002862,1.7996764183044434,1.5832502841949463
gr48,48,5046,5917,5753,4259,4082.0,1.1726119698771305,1.140110978993262,2.3498592376708984,1.8665618896484375
hk48,48,11461,13503,12896,10774,9905.0,1.1781694442020767,1.1252072245004798,2.3665502071380615,1.483280897140503
eil51,51,426,478,462,392,375.0,1.1220657276995305,1.0845070422535212,1.8166217803955078,2.1666033267974854
berlin52,52,7542,8608,8591,6419,6078.0,1.141341819146115,1.1390877751259614,2.4333279132843018,1.4665241241455078
brazil58,58,25395,29985,27205,20773,17514.0,1.1807442409923212,1.0712738728096083,3.0998833179473877,1.966454029083252
st70,70,675,792,770,612,563.0,1.1733333333333333,1.1407407407407408,3.597778797149658,2.6167027950286865
eil76,76,538,630,608,477,463.0,1.171003717472119,1.1301115241635689,4.204887628555298,3.8372838497161865
pr76,76,108159,120402,116684,92367,87217.0,1.1131944637062103,1.0788191458870737,3.1321640014648438,2.5390102863311768
gr96,96,55209,66203,62101,53048,47239.0,1.199134199134199,1.1248347189769783,7.591651678085327,4.074409246444702
rat99,99,1211,1392,1393,1199,1107.0,1.1494632535094962,1.1502890173410405,5.334732532501221,5.4997239112854
kroA100,100,21282,24975,23293,20508,18772.0,1.1735269241612631,1.0944929987783103,5.283651113510132,4.852138042449951
kroB100,100,22141,25167,24012,21102,19258.0,1.1366695271216296,1.0845038616142,6.082546949386597,4.149968862533569
kroC100,100,20749,25969,23470,20614,18402.0,1.2515783893199672,1.1311388500650634,4.483235120773315,4.516332149505615
kroD100,100,21294,25688,23583,21185,18596.0,1.2063492063492063,1.1074950690335306,5.699270248413086,4.634103298187256
kroE100,100,22068,26600,23783,20535,19223.0,1.2053652347290194,1.0777143375022658,8.864700317382812,6.475401163101196
rd100,100,7910,9677,8906,7568,6962.0,1.2233881163084703,1.1259165613147915,7.306929349899292,6.332598447799683
eil101,101,629,750,707,574,551.0,1.192368839427663,1.124006359300477,6.537997722625732,7.525050163269043
lin105,105,14379,18322,16320,14875,13055.0,1.2742193476597816,1.1349885249321927,7.465553522109985,4.422229290008545
pr107,107,44303,54090,47891,40983,34757.0,1.2209105478184321,1.0809877434936686,11.138234376907349,5.126652002334595
gr120,120,6942,8172,8016,6089,5805.0,1.1771823681936042,1.1547104580812446,9.925263404846191,9.893518924713135
pr124,124,59030,70415,64438,62425,50535.0,1.1928680332034558,1.0916144333389801,11.59232234954834,3.22996187210083
bier127,127,118282,135044,132448,98947,94706.0,1.1417121793679512,1.119764630290323,11.627878665924072,11.937056541442871
ch130,130,6110,7175,6773,5452,5166.0,1.17430441898527,1.1085106382978724,8.697458744049072,6.733407258987427
pr136,136,96772,115075,103771,96606,88964.0,1.1891352870665068,1.0723246393584922,9.70150351524353,6.109921455383301
gr137,137,69853,81866,76589,64818,58935.0,1.1719754341259503,1.0964310766896197,9.529972076416016,5.988203287124634
pr144,144,58537,79707,70404,65915,49466.0,1.3616516049677982,1.2027264806874285,15.09403109550476,2.152132749557495
ch150,150,6528,7634,7135,6324,5878.0,1.1694240196078431,1.092984068627451,11.52983808517456,6.483797073364258
kroA150,150,26524,31761,29688,26557,23557.0,1.1974438244608656,1.1192881918262705,17.3857741355896,13.826395988464355
kroB150,150,26130,31726,30053,24840,22801.0,1.21415996938385,1.1501339456563338,13.509518146514893,12.678240299224854
pr152,152,73682,92719,79311,72968,59171.0,1.2583670367253874,1.0763958633044706,16.34020686149597,2.4295055866241455
u159,159,42080,51131,47586,40969,37161.0,1.2150903041825094,1.1308460076045628,14.309302806854248,9.998249292373657
si175,175,21407,22479,22079,21269,20762.0,1.050077077591442,1.0313916008782174,21.396833896636963,13.33956503868103
rat195,195,2323,2684,2630,2223,2155.0,1.1554024967714163,1.1321566939302625,21.871350049972534,14.62156057357788
d198,198,15780,18154,17347,13194,11738.0,1.150443599493029,1.0993029150823828,28.723841190338135,15.488795280456543
kroA200,200,29368,35211,33232,28396,25930.0,1.1989580495777716,1.1315717788068647,28.42552876472473,18.217058658599854
kroB200,200,29437,34501,33119,28683,26197.0,1.172028399633115,1.1250806807758942,25.601738691329956,17.325772762298584
gr202,202,40160,44506,43255,34178,32623.0,1.1082171314741036,1.077066733067729,29.24479055404663,27.08242416381836